latitude,longitude,rwi,error
-2.9320690,-78.9367676,0.602,0.506
-0.6262082,-77.3986816,-0.529,0.386
-2.1198775,-79.4201660,0.027,0.501
0.1647947,-79.5080566,-0.482,0.421
-2.8442900,-78.8049316,-0.067,0.483
-2.4931093,-78.2336426,-0.449,0.395
-0.2087398,-78.3654785,0.613,0.512
-2.4492049,-79.1564941,-0.374,0.473
-0.5163504,-79.9694824,-0.159,0.436
-0.1647947,-79.3322754,-0.258,0.469
-4.0944111,-80.1892090,-0.492,0.463
-4.1601581,-80.0354004,-0.533,0.475
-3.2173020,-79.4641113,0.455,0.537
-4.2478122,-79.2443848,-0.014,0.497
0.2087398,-76.5637207,-0.044,0.451
-3.8094460,-80.0793457,-0.527,0.562
-0.7360637,-90.2966309,-0.086,0.450
-3.1953637,-78.9807129,-0.963,0.449
-2.1198775,-78.6950684,-0.367,0.434
0.6042368,-80.0354004,-0.474,0.521
-2.2516175,-80.8923340,0.433,0.568
-1.9002862,-79.2663574,-0.520,0.475
-1.1095498,-80.1892090,0.417,0.462
-2.6028640,-80.3430176,0.312,0.473
-1.7245930,-80.2770996,-0.715,0.412
0.0988769,-79.2443848,-0.455,0.471
-1.6806671,-78.6071777,-0.057,0.525
0.0988769,-78.2116699,-0.121,0.492
-1.5928123,-80.5627441,-0.936,0.422
-3.3050503,-79.2004395,-1.041,0.486
0.2526847,-78.3435059,-0.508,0.485
-1.9222467,-80.6726074,0.012,0.413
0.5383221,-79.6618652,-0.827,0.430
-0.6701507,-80.3430176,0.002,0.520
0.5602938,-79.2663574,-0.820,0.388
-3.4147247,-79.7058105,-0.286,0.437
-2.2077054,-79.9694824,0.168,0.570
-3.5243866,-79.2883301,0.071,0.478
-0.0988769,-78.9807129,-0.546,0.426
-1.0875811,-80.7385254,0.472,0.455
-0.9777357,-79.7497559,-0.236,0.492
-2.0100856,-79.1125488,-0.304,0.420
-0.4064907,-78.0358887,-0.163,0.477
0.4943786,-77.9040527,0.452,0.542
-2.3613917,-80.2770996,-0.080,0.453
-1.1315182,-79.8815918,-0.610,0.518
-0.4943786,-80.4528809,0.095,0.511
-2.9101249,-78.9367676,0.441,0.511
0.4064907,-78.1018066,0.037,0.490
-0.2307123,-79.2663574,-0.139,0.490
-1.5049538,-79.0246582,-0.174,0.450
0.3186019,-79.4421387,-0.264,0.534
-1.1095498,-80.1232910,-0.349,0.423
-0.6921218,-80.1672363,-0.445,0.506
1.2193903,-78.7390137,-0.555,0.471
0.2307123,-79.1564941,-0.450,0.444
0.0988769,-78.3654785,-0.188,0.544
-1.5269188,-80.0134277,-0.507,0.470
-0.9337965,-78.5192871,0.297,0.456
-2.2735730,-78.0798340,-0.335,0.475
-0.9997051,-78.6291504,0.071,0.492
0.4064907,-79.2883301,-0.194,0.449
-2.3613917,-79.9694824,-0.177,0.461
-2.8003980,-79.3981934,-0.373,0.424
-1.6147764,-79.7497559,-0.931,0.494
-0.1428221,-80.0134277,-0.466,0.530
0.1428221,-78.9367676,-0.507,0.421
-4.0724942,-80.4748535,-0.520,0.420
-1.5708481,-80.3430176,-0.603,0.412
-0.4504348,-80.2990723,-0.562,0.465
-0.2746571,-79.6838379,-0.661,0.458
-4.2697242,-80.1892090,0.521,0.482
-2.1857489,-79.0905762,0.276,0.477
0.2526847,-79.4201660,-0.447,0.485
-1.1315182,-79.1784668,-0.683,0.454
-1.9442068,-80.6066895,-0.645,0.504
0.4064907,-78.1237793,0.251,0.490
-4.5983271,-79.4421387,-0.150,0.511
0.1867672,-78.4094238,-0.089,0.542
-1.7465556,-79.6838379,-0.661,0.469
-4.2039864,-80.1672363,-0.316,0.500
-2.9101249,-79.4421387,0.261,0.507
-2.8223442,-78.3435059,-0.675,0.449
0.0329590,-76.8273926,-0.182,0.473
-1.3292264,-78.9807129,-0.283,0.436
-1.1095498,-77.7282715,-0.187,0.398
-1.0656124,-80.4089355,-0.524,0.534
-1.4610233,-77.9919434,0.677,0.525
-4.0286586,-78.7170410,-0.483,0.457
-2.2296616,-78.2995605,-0.213,0.531
0.4504348,-79.5300293,-0.453,0.473
-0.9557662,-80.8044434,1.092,0.555
-1.3731595,-79.5080566,-0.590,0.461
-0.3405742,-80.2331543,-0.387,0.461
-2.5589632,-79.0246582,-0.065,0.480
-2.7784514,-78.2775879,-0.193,0.435
-4.0505767,-80.1672363,-0.407,0.402
0.2526847,-79.3322754,-0.480,0.439
0.3405742,-79.3103027,-0.283,0.449
-0.0769043,-76.5417480,-0.137,0.438
0.9557662,-78.7609863,-0.288,0.413
-1.4390576,-80.6726074,-0.357,0.439
-1.1095498,-79.9914551,-0.564,0.544
-1.3072596,-79.7277832,-0.305,0.409
-0.4284628,-76.8054199,-0.099,0.541
-1.8783255,-79.3103027,-0.486,0.435
0.4064907,-78.2116699,0.326,0.515
-0.0109863,-79.6179199,-0.083,0.461
0.3845186,-79.6179199,-0.831,0.488
-0.2746571,-78.9807129,0.086,0.460
-4.3354564,-79.6398926,-0.517,0.476
-0.9777357,-80.1452637,-0.373,0.450
-1.2852926,-78.8269043,-0.096,0.458
-3.4585910,-78.6511230,0.298,0.483
-1.9442068,-79.2224121,-0.293,0.415
-0.1867672,-76.8054199,-0.049,0.519
0.0988769,-79.3542480,-0.371,0.430
0.2746571,-75.9924316,-0.505,0.394
0.4724067,-77.9699707,-0.650,0.508
-2.6906608,-78.9147949,0.150,0.501
-2.9978987,-79.7717285,0.121,0.507
-0.7800052,-79.2883301,-0.193,0.487
-3.3927908,-78.5852051,0.609,0.528
-3.6559638,-80.1013184,0.134,0.515
0.5822654,-79.4201660,-1.020,0.389
-1.7465556,-79.8815918,-0.358,0.502
-4.9705600,-79.0466309,-0.434,0.420
-1.1534865,-79.7497559,-0.505,0.478
-2.2735730,-78.8269043,-0.376,0.511
-2.1857489,-80.1232910,-0.382,0.454
-1.6806671,-80.0573730,-0.029,0.406
0.5163504,-79.6179199,-0.550,0.422
-0.0329590,-78.0798340,-0.132,0.459
-0.0988769,-76.4758301,-0.210,0.457
0.1428221,-79.3762207,-0.311,0.517
-2.2735730,-80.7604980,-0.008,0.468
-0.9777357,-77.4645996,-0.643,0.402
-1.2193903,-80.1232910,-0.528,0.450
-4.2258996,-79.3762207,-0.024,0.426
-1.9442068,-79.8815918,0.027,0.481
-1.7685179,-79.5080566,-0.491,0.472
0.4504348,-77.9699707,-0.267,0.492
-2.7784514,-78.7609863,0.460,0.496
0.1208495,-76.1901855,-0.564,0.514
0.1208495,-79.5520020,-0.495,0.421
-0.0988769,-79.3762207,-0.282,0.462
-2.4492049,-80.1672363,-0.122,0.455
-0.2966295,-76.5417480,-0.038,0.560
-0.1867672,-76.5417480,-0.437,0.443
-0.0769043,-79.3103027,0.073,0.465
-1.7026302,-79.2883301,0.053,0.508
-3.0856655,-78.0798340,-0.811,0.409
0.7360637,-79.5080566,-0.679,0.400
-0.1867672,-79.8596191,-0.875,0.479
-1.4829887,-80.3869629,-0.686,0.428
0.6262082,-79.4641113,-0.855,0.425
0.8898568,-79.6838379,-0.537,0.530
-4.2258996,-79.5959473,-0.527,0.430
-3.0198411,-79.5520020,-0.408,0.401
-0.2087398,-79.5520020,-0.003,0.530
-0.5822654,-79.6838379,-0.458,0.415
1.2633253,-78.6730957,-0.716,0.469
-0.4943786,-80.1013184,-0.465,0.399
-1.3731595,-78.8269043,-0.476,0.453
0.9118267,-79.4421387,-0.350,0.437
0.5602938,-78.0798340,-0.279,0.412
0.0988769,-79.0466309,0.152,0.534
-2.5150610,-79.0686035,-0.031,0.442
-0.2526847,-80.1672363,-0.374,0.424
-4.2258996,-79.2224121,-0.200,0.487
-3.8971380,-79.6838379,-0.411,0.408
-0.4724067,-78.4094238,-0.520,0.465
-1.7245930,-79.0686035,-0.278,0.451
-1.6806671,-79.6838379,-0.999,0.492
0.2966295,-79.7058105,-0.340,0.396
-1.2633253,-77.8820801,0.039,0.533
-1.6147764,-79.9475098,-0.414,0.468
-0.6481795,-79.9475098,-0.357,0.414
-1.3072596,-79.3103027,-0.488,0.477
-1.7685179,-78.5632324,-0.457,0.513
-0.9118267,-79.6838379,-0.718,0.473
-1.6367402,-79.8596191,-0.159,0.488
-2.3613917,-80.1672363,-0.068,0.437
0.4504348,-79.6179199,-0.368,0.389
-1.6806671,-78.0358887,-0.332,0.410
-1.9881263,-80.0134277,-0.221,0.490
-0.0769043,-80.1892090,-0.071,0.485
-2.5809138,-79.5739746,-0.171,0.455
0.4943786,-79.2663574,-0.879,0.388
-2.5370123,-80.2111816,-0.446,0.393
0.4943786,-78.1457520,-0.153,0.488
-1.6147764,-80.4748535,-0.335,0.452
-1.1974226,-79.9694824,-0.575,0.451
-0.6042368,-80.3869629,0.281,0.497
-0.4064907,-78.4094238,-0.302,0.450
-2.0540032,-80.0134277,-0.542,0.488
-1.4610233,-80.1892090,-0.850,0.388
-0.1647947,-78.4533691,0.855,0.528
-0.6042368,-80.2551270,-0.495,0.446
-3.5682478,-79.2224121,0.086,0.516
0.0769043,-76.9152832,0.541,0.504
-1.0436434,-80.8923340,-0.041,0.401
-3.3050503,-79.9694824,0.140,0.504
0.2087398,-76.8713379,-0.548,0.491
-2.7565043,-78.2775879,0.147,0.498
-2.0759616,-79.6398926,0.232,0.436
-0.0769043,-78.7390137,-0.408,0.408
-1.5928123,-79.8815918,-0.488,0.449
-2.3613917,-80.6506348,0.000,0.565
-0.2526847,-77.1130371,-0.550,0.431
-0.3845186,-76.6296387,-0.577,0.669
-2.0320445,-78.8049316,-0.419,0.446
-2.5589632,-80.1232910,0.085,0.472
-0.4504348,-80.0573730,-0.344,0.464
-0.4943786,-80.0793457,-0.186,0.493
-2.2735730,-78.9367676,0.235,0.491
0.8019758,-77.7722168,-0.142,0.476
-2.8442900,-78.9147949,1.047,0.516
-2.6467632,-79.5739746,0.190,0.495
-0.4284628,-80.2551270,-0.207,0.513
0.0549316,-78.3654785,-0.256,0.512
-0.4284628,-79.6618652,-0.881,0.420
-1.3511931,-80.2331543,-0.508,0.450
-0.0988769,-79.5739746,-0.868,0.428
-1.3511931,-77.9699707,-0.179,0.449
-3.7217452,-79.6179199,1.095,0.544
-0.1867672,-78.3435059,0.641,0.511
-4.0067400,-79.7717285,0.507,0.517
-1.6806671,-80.6506348,-0.451,0.400
-0.5822654,-77.3327637,-0.343,0.404
-2.0759616,-79.9255371,1.093,0.475
-1.2193903,-77.8820801,0.131,0.476
-1.1534865,-80.3649902,-0.365,0.543
-0.2526847,-80.0793457,-0.669,0.435
-1.6806671,-80.7165527,-0.131,0.409
0.4504348,-78.1896973,0.338,0.513
-0.1647947,-76.6296387,-0.982,0.463
-2.6906608,-78.2995605,-0.439,0.393
-1.9222467,-79.5080566,-0.279,0.464
-1.0656124,-80.2551270,0.347,0.563
-0.3186019,-78.5192871,1.046,0.508
0.0329590,-78.2775879,0.535,0.431
1.0656124,-78.9587402,-0.237,0.457
-0.0549316,-78.2116699,0.146,0.473
0.3405742,-79.4860840,-0.063,0.511
0.2526847,-79.6618652,-0.747,0.523
-0.4724067,-77.8820801,0.243,0.521
-2.3833455,-80.3869629,-0.346,0.525
-1.2413579,-80.3210449,-0.464,0.485
0.3405742,-79.4421387,-0.709,0.506
-4.5545219,-79.0246582,0.169,0.498
-4.2039864,-79.2883301,-0.243,0.487
-1.6147764,-78.7170410,-0.176,0.513
-2.9320690,-79.7937012,-0.190,0.444
-1.5269188,-79.5080566,-0.534,0.492
0.1428221,-79.4860840,-0.887,0.439
-3.0856655,-79.6838379,-0.675,0.488
-0.1867672,-78.9367676,-0.492,0.436
1.1754546,-78.7170410,-0.502,0.530
-1.4170918,-80.1672363,-0.661,0.430
0.3845186,-77.9260254,-0.342,0.487
-2.9101249,-77.8820801,-0.809,0.425
-2.2077054,-80.3430176,-0.454,0.518
-0.7580345,-79.3322754,-0.489,0.470
0.1867672,-78.4313965,0.026,0.386
-3.1953637,-79.4421387,-0.414,0.447
-2.8223442,-78.9807129,0.730,0.506
-0.7140928,-77.3547363,-0.243,0.475
-0.7800052,-80.4309082,-0.688,0.539
-1.5708481,-79.8376465,-0.246,0.462
-0.6262082,-79.8596191,-0.123,0.412
-2.2077054,-79.7058105,0.496,0.446
-3.0637244,-78.9587402,0.009,0.492
-0.0769043,-79.6838379,-0.411,0.473
-1.8124418,-77.9479980,-0.612,0.490
0.8019758,-78.9367676,-0.578,0.474
-2.2077054,-78.1677246,-0.151,0.516
0.4064907,-79.7058105,-0.805,0.389
-0.8239462,-78.5192871,-0.652,0.416
1.2852926,-78.6950684,-0.822,0.461
-0.2307123,-79.5959473,-0.465,0.413
-0.9777357,-80.4528809,0.235,0.535
-3.6778914,-78.5412598,-0.563,0.407
-1.7685179,-79.6618652,-0.397,0.490
0.6481795,-79.6838379,-0.613,0.421
-0.0769043,-76.9812012,-0.225,0.547
-3.8313699,-79.3322754,-0.690,0.394
-1.9881263,-79.8376465,-0.337,0.503
-2.2077054,-78.7390137,-0.723,0.446
-1.1754546,-80.1232910,-0.522,0.418
-4.4669035,-79.7497559,0.324,0.413
-3.0198411,-79.6618652,-0.245,0.477
-4.3792747,-79.9035645,-0.130,0.482
-1.9881263,-80.6726074,-0.141,0.513
-1.6367402,-78.6950684,0.637,0.475
-0.4724067,-80.0354004,-0.876,0.464
-4.1601581,-79.8156738,-0.903,0.633
-2.2516175,-80.5407715,-0.093,0.445
0.5602938,-79.4421387,-1.259,0.389
-2.7784514,-78.7390137,-0.507,0.488
-1.3511931,-78.8049316,-0.548,0.448
-2.6028640,-79.9255371,-0.374,0.493
0.0109863,-76.7834473,-0.523,0.423
0.6701507,-77.7502441,-0.218,0.511
-4.0724942,-80.1013184,-0.172,0.503
-0.8898568,-80.1232910,-0.091,0.493
0.3186019,-78.2336426,0.450,0.511
-4.3792747,-79.5080566,-0.344,0.416
-0.8459165,-79.1784668,-0.944,0.464
-0.6262082,-78.8488770,-0.377,0.385
-1.0216743,-77.7941895,-0.083,0.487
-0.0329590,-76.5856934,0.481,0.576
-0.0988769,-79.5080566,-0.684,0.435
-0.0329590,-78.1457520,-0.114,0.499
-0.2307123,-76.3439941,-0.714,0.480
-1.3731595,-78.2116699,-0.072,0.472
-2.1637921,-79.5959473,0.938,0.534
1.3511931,-78.6950684,-0.286,0.403
-3.8752158,-80.0793457,-0.286,0.486
-0.0769043,-76.5637207,0.217,0.432
-3.0856655,-79.0246582,0.272,0.489
-1.7465556,-79.3542480,0.065,0.511
-1.3951258,-79.1564941,0.208,0.501
-0.5383221,-79.9694824,-0.457,0.407
-1.5049538,-80.4309082,-0.142,0.424
-3.9409805,-79.7497559,-0.476,0.408
-0.2087398,-76.7395020,-0.344,0.464
-1.1315182,-79.0246582,-0.123,0.472
0.2966295,-79.6398926,-0.306,0.403
-1.7026302,-79.9694824,-0.364,0.486
-0.7360637,-76.7614746,-0.390,0.450
-2.3394375,-80.0134277,-0.134,0.419
-0.0549316,-79.6838379,-0.801,0.406
-1.8783255,-78.6730957,-0.149,0.412
-0.8898568,-77.7941895,-0.227,0.512
-2.2296616,-80.8483887,1.160,0.553
-1.1095498,-80.4089355,0.473,0.543
-4.9048867,-79.1345215,-0.727,0.385
-3.1514858,-79.9035645,0.121,0.474
-1.7465556,-80.4309082,-1.037,0.387
-2.8881803,-80.0573730,-0.291,0.439
-0.3186019,-79.4860840,-0.113,0.493
0.0329590,-78.3435059,0.434,0.570
-1.3072596,-78.4973145,0.219,0.528
-0.0549316,-79.1784668,0.001,0.519
-3.1076060,-79.7717285,0.295,0.494
-2.3394375,-80.1672363,-0.609,0.534
-0.3405742,-79.5300293,-0.515,0.470
-3.9629009,-80.0573730,-0.465,0.452
-0.9997051,-79.9475098,-0.551,0.466
-2.0100856,-80.7385254,0.399,0.515
-1.7245930,-78.5632324,0.149,0.447
-3.1295462,-79.2004395,0.202,0.496
-2.3174830,-77.5964355,-0.941,0.403
-0.2966295,-79.7058105,-0.457,0.419
-0.8019758,-79.1564941,0.188,0.524
-2.1637921,-79.7717285,0.041,0.483
-0.4724067,-79.5080566,-0.458,0.497
-0.8019758,-80.0793457,-0.574,0.464
-2.6906608,-78.8269043,0.417,0.467
-0.8019758,-77.8161621,-0.724,0.594
0.4724067,-78.0798340,0.027,0.478
-0.5602938,-79.4641113,-0.467,0.467
-0.0329590,-79.5300293,-0.826,0.435
-4.2916356,-80.0573730,-0.334,0.455
0.0549316,-79.3103027,-0.544,0.441
-0.9557662,-80.1013184,0.490,0.501
0.0988769,-75.9045410,-0.472,0.418
0.3625464,-77.9260254,-0.248,0.443
0.8898568,-79.0905762,-0.787,0.396
0.2966295,-79.9035645,0.078,0.522
-2.8881803,-78.7829590,1.144,0.507
-1.7026302,-80.2551270,-0.166,0.406
-1.6147764,-79.9914551,-0.049,0.593
-2.3613917,-79.7937012,0.236,0.512
0.0769043,-76.8493652,-0.193,0.501
-3.1953637,-79.4201660,-0.607,0.409
-2.9101249,-78.8269043,-0.643,0.555
0.0549316,-79.6179199,-0.499,0.404
-0.7800052,-78.7829590,-0.476,0.428
-1.5708481,-79.2004395,-0.519,0.460
-0.1647947,-80.1892090,-0.528,0.479
0.1208495,-79.4201660,-0.319,0.467
-2.2296616,-79.8596191,0.320,0.556
-0.0769043,-76.5856934,-0.621,0.421
0.6701507,-78.9807129,-1.132,0.392
-2.5370123,-80.1892090,-0.558,0.470
-3.0198411,-79.0905762,-0.428,0.473
-2.5589632,-79.5520020,0.216,0.504
-4.3135463,-79.4421387,-0.537,0.607
0.1208495,-77.0251465,-0.588,0.469
-0.0329590,-79.3542480,-0.143,0.451
0.2087398,-79.3322754,-0.506,0.485
-4.4230904,-80.3869629,-0.568,0.423
-1.6587038,-79.3762207,-0.566,0.444
-0.0988769,-76.1682129,-0.763,0.522
-0.8898568,-79.8376465,-0.514,0.442
-0.4724067,-80.0573730,-0.613,0.462
-1.3951258,-79.3981934,-0.318,0.480
-1.4610233,-79.8376465,-0.298,0.429
-4.1382430,-79.8596191,-0.347,0.478
-0.4724067,-80.2770996,-0.765,0.414
-2.9540126,-78.8049316,0.118,0.485
0.0549316,-78.7170410,-0.279,0.462
-0.8019758,-80.0134277,-0.735,0.466
-3.6340356,-79.9255371,0.139,0.466
0.1208495,-79.6398926,-0.688,0.403
-0.0769043,-79.6179199,-0.494,0.405
-1.7465556,-79.6618652,-0.171,0.464
0.2746571,-77.9919434,-0.556,0.404
-0.4284628,-76.7395020,-0.244,0.413
0.1867672,-78.2336426,0.758,0.479
-1.3292264,-79.4860840,-0.384,0.484
-3.3269861,-80.0354004,0.478,0.499
-1.3292264,-80.1232910,-0.398,0.392
-2.5370123,-79.8156738,-0.278,0.495
-1.8344033,-80.3869629,-0.664,0.435
-1.9002862,-78.5632324,-0.976,0.415
-3.5024552,-78.5412598,-0.330,0.481
-1.9661667,-79.2443848,-0.103,0.538
-2.7345569,-78.2556152,0.513,0.466
-2.8881803,-78.8049316,0.035,0.510
-2.6687122,-78.3654785,-0.497,0.409
-1.9222467,-79.8815918,-0.338,0.476
-0.3845186,-78.9807129,-0.134,0.418
-2.7345569,-78.7829590,0.201,0.504
-2.1857489,-79.5739746,0.449,0.542
-1.1974226,-79.0466309,-0.621,0.416
-0.0769043,-78.4094238,0.901,0.533
-3.8971380,-79.7058105,-0.373,0.509
-2.8223442,-79.6838379,0.029,0.528
-2.3394375,-79.6618652,-0.568,0.465
-1.5049538,-80.0793457,-0.768,0.472
-2.2516175,-78.9367676,0.430,0.481
-0.1208495,-80.1892090,-0.075,0.395
-0.4284628,-77.8601074,-0.749,0.506
-3.8971380,-79.1125488,-0.866,0.391
0.0549316,-76.9372559,-0.552,0.445
-1.0216743,-78.5632324,0.440,0.540
-0.6042368,-80.4089355,0.493,0.558
-2.5150610,-78.1677246,-0.376,0.475
-3.8094460,-78.8928223,0.267,0.475
-1.7245930,-79.8596191,0.021,0.560
-3.7436712,-79.6179199,-0.305,0.480
-1.1754546,-79.3322754,-0.519,0.461
-1.1315182,-79.2004395,-0.826,0.410
0.1428221,-78.4313965,-0.231,0.481
0.1428221,-79.5080566,-0.298,0.432
0.5822654,-79.9255371,-0.456,0.457
-0.4724067,-80.3210449,-0.315,0.487
-0.9777357,-79.3103027,-0.083,0.555
-2.0979197,-79.7497559,-0.561,0.498
-1.2852926,-80.2331543,-0.462,0.407
-2.9101249,-78.2556152,-0.746,0.401
-3.7875216,-79.4860840,-0.942,0.400
-1.9222467,-80.0573730,-0.444,0.459
-2.6467632,-80.1892090,-0.262,0.473
0.5163504,-78.2116699,0.121,0.553
-3.7875216,-78.9147949,-0.418,0.426
-2.1857489,-78.7170410,-0.670,0.404
0.3845186,-79.4641113,-0.184,0.467
-3.8313699,-79.8815918,-0.414,0.390
-2.4931093,-79.1784668,-0.063,0.487
-1.1534865,-80.6066895,-0.187,0.465
-2.0759616,-79.3103027,-0.696,0.479
-4.0286586,-79.4860840,-0.218,0.404
-1.1315182,-79.2663574,-0.330,0.495
-1.5928123,-79.1564941,-0.416,0.426
-0.6481795,-79.5300293,-0.696,0.450
-0.3186019,-79.0246582,0.422,0.490
-3.8752158,-80.0573730,0.049,0.431
-0.8898568,-79.7277832,-0.540,0.447
-4.1601581,-80.1013184,-0.701,0.640
-0.9997051,-79.6618652,-0.162,0.476
-0.3625464,-77.0471191,-0.644,0.483
-2.3394375,-79.0905762,-0.836,0.435
-2.2735730,-78.1237793,0.575,0.514
-3.8532931,-79.8156738,-0.104,0.420
-1.2413579,-80.4089355,-0.324,0.501
-0.0549316,-77.3547363,-0.462,0.459
-1.5269188,-79.1125488,-0.285,0.510
0.0329590,-78.5632324,-0.367,0.477
-3.3927908,-79.4641113,-0.630,0.435
-0.9777357,-77.7722168,-0.206,0.521
-1.6587038,-78.7390137,0.693,0.457
-1.7685179,-79.2224121,-0.155,0.475
0.3186019,-78.2116699,1.049,0.524
0.2526847,-79.5959473,-0.811,0.406
-2.0540032,-78.6950684,-0.611,0.441
-3.7875216,-78.8928223,-0.834,0.499
-0.3625464,-76.6735840,-0.195,0.472
0.4943786,-79.0686035,-0.360,0.389
-0.3186019,-80.0134277,-0.706,0.420
-0.7140928,-79.8376465,-0.601,0.402
-1.6806671,-79.4421387,0.011,0.516
-4.0944111,-79.5080566,-0.405,0.411
-2.7126091,-78.6730957,0.144,0.455
-1.4829887,-79.8815918,-0.480,0.473
-0.8019758,-79.9255371,-0.438,0.430
-2.8442900,-78.9367676,0.647,0.462
-0.0549316,-78.7829590,0.656,0.524
-0.9557662,-80.0134277,-0.437,0.516
-1.6806671,-77.9699707,-0.110,0.485
0.9777357,-79.1125488,-1.062,0.506
-1.9661667,-77.5964355,-0.459,0.403
-2.3174830,-80.2990723,-0.479,0.450
-1.5928123,-79.3322754,-0.098,0.498
-1.0656124,-77.7941895,0.180,0.435
-1.3072596,-80.4748535,-0.347,0.463
-1.0875811,-80.5407715,0.221,0.487
-1.2633253,-79.0466309,-0.238,0.421
-2.1637921,-79.6398926,0.662,0.559
-1.3731595,-80.3210449,-0.342,0.428
-0.4724067,-80.1672363,-0.142,0.466
-0.2087398,-79.0905762,-0.273,0.454
-0.5602938,-77.3767090,-0.527,0.388
-0.8239462,-79.5520020,-0.857,0.418
0.5602938,-77.8601074,-0.458,0.473
-4.5764249,-79.4641113,-0.335,0.516
-1.2633253,-79.4860840,-0.554,0.504
-2.6028640,-79.5739746,-0.519,0.455
-0.6042368,-77.3767090,-0.390,0.388
-4.0286586,-79.5739746,-0.760,0.426
-0.0549316,-79.9914551,-0.161,0.398
-1.1095498,-77.9260254,-1.183,0.386
-3.9190595,-80.0793457,-0.543,0.496
-0.3186019,-78.6071777,-0.506,0.499
-2.8003980,-78.3215332,-0.039,0.618
-0.2746571,-79.3762207,0.147,0.511
-1.5049538,-80.1452637,-0.746,0.398
-0.8898568,-79.0026855,-0.553,0.413
-4.3354564,-79.6838379,-0.271,0.461
-2.0979197,-79.0905762,0.232,0.426
-0.9997051,-80.6726074,0.712,0.540
-0.7800052,-77.3327637,-0.711,0.426
-0.1867672,-79.4860840,-0.491,0.477
-0.8239462,-77.1569824,-0.959,0.388
-1.3951258,-79.9694824,-0.834,0.418
-3.3269861,-79.8596191,-0.317,0.472
-1.0216743,-78.5412598,-0.188,0.534
-0.9997051,-80.3430176,-0.055,0.499
-0.1208495,-79.3981934,-0.367,0.551
0.3625464,-76.3000488,-0.421,0.432
-1.5488836,-78.7170410,-0.371,0.469
-1.7245930,-79.8815918,-0.507,0.521
-1.4390576,-79.7497559,0.341,0.574
0.2087398,-79.4641113,-0.509,0.437
0.2746571,-79.6618652,-0.806,0.423
-4.3354564,-79.2443848,-0.555,0.476
-0.8459165,-79.4860840,-0.116,0.478
-3.1734250,-79.7937012,-0.127,0.481
0.2746571,-78.3654785,-0.289,0.425
-0.0769043,-78.1677246,0.264,0.478
0.4064907,-79.2443848,-0.005,0.532
-0.9557662,-79.8376465,-0.527,0.443
-1.2852926,-80.0793457,-0.905,0.395
-1.2193903,-78.5192871,-0.073,0.528
-1.3072596,-80.4528809,-0.596,0.445
-1.3511931,-79.9694824,-0.556,0.449
-0.8239462,-80.0793457,-0.251,0.431
-0.2966295,-76.0803223,-1.199,0.505
0.2526847,-78.3874512,0.052,0.470
-3.0198411,-78.3215332,-0.895,0.406
0.9118267,-79.5739746,-0.549,0.447
-1.0436434,-79.6838379,-0.162,0.510
-0.9777357,-79.8376465,-0.536,0.462
-1.4390576,-77.9479980,-0.137,0.432
-3.3269861,-79.6179199,0.523,0.485
-0.1208495,-76.3220215,-0.333,0.501
-1.6147764,-80.2551270,-0.504,0.429
-0.8898568,-78.8928223,-0.468,0.398
-0.2087398,-78.4753418,1.155,0.486
0.3405742,-80.0134277,0.390,0.496
0.5822654,-79.1564941,-0.572,0.505
-1.0875811,-78.4753418,0.077,0.490
-2.1418349,-78.0798340,-0.507,0.411
-2.6906608,-79.5959473,0.021,0.499
0.4064907,-79.2663574,-0.481,0.502
-0.8459165,-77.3107910,-1.045,0.387
-3.2611771,-79.0246582,-0.317,0.479
-1.9002862,-78.5412598,-0.588,0.536
-0.4284628,-77.9919434,-0.583,0.431
0.4943786,-79.6618652,-0.658,0.452
-2.7565043,-78.9587402,0.148,0.485
-0.1867672,-79.9914551,0.119,0.448
-0.7360637,-79.2883301,-0.587,0.501
-1.7685179,-80.3649902,-0.756,0.396
-3.8752158,-79.9255371,-0.519,0.405
-1.9881263,-79.5300293,-0.090,0.508
-0.6481795,-79.6179199,-0.289,0.529
-1.2413579,-80.3869629,-0.346,0.475
-1.5928123,-79.7277832,-0.067,0.491
0.2307123,-78.6950684,-0.304,0.406
-0.2746571,-78.5192871,0.751,0.468
0.1428221,-78.8049316,-0.130,0.472
-2.5589632,-78.8049316,-0.368,0.440
-4.4230904,-79.7497559,0.118,0.516
-0.8019758,-78.7170410,-0.181,0.457
-0.3845186,-76.7175293,-0.689,0.439
-0.4064907,-77.1130371,-0.443,0.403
-1.2852926,-80.3430176,-0.841,0.403
-1.8124418,-79.0686035,0.591,0.533
-3.7217452,-79.6618652,-0.093,0.506
-2.1857489,-80.9802246,0.656,0.538
-0.3405742,-79.9914551,-0.678,0.416
-0.8459165,-78.8708496,-0.386,0.407
-0.0549316,-78.4973145,0.151,0.534
-1.9002862,-79.9694824,-0.039,0.522
-1.0436434,-78.5632324,0.389,0.524
-0.4504348,-78.5192871,-0.541,0.518
-1.0656124,-78.7170410,0.207,0.482
-1.5049538,-80.3430176,-0.298,0.420
-0.3186019,-77.8161621,-0.164,0.540
-0.9118267,-77.3767090,-0.555,0.396
-0.2307123,-79.1784668,0.869,0.527
0.4504348,-77.8820801,-0.397,0.387
0.5602938,-78.0578613,-0.012,0.505
-0.0769043,-77.3547363,-0.369,0.391
0.7800052,-78.4533691,-0.451,0.413
